"","x"
"1",0.308640521135732
"2",0.665159969410586
"3",0.992079512711488
"4",0.707558313539781
"5",0.188096231895936
"6",0.811733973634278
"7",0.888646412583086
"8",0.217359646125537
"9",0.972776972062204
"10",NA
"11",0.354543340740161
"12",0.253402727339072
"13",0.979764168131499
"14",0.153670270226993
"15",0.671291286252009
"16",0.827652579963169
"17",0.947674908259034
"18",0.240139121221201
"19",0.845824595703078
"20",0.296267986696322
"21",0.437183334828573
"22",0.456646282705726
"23",0.217922077124029
"24",0.809483145430224
"25",0.517484563693938
"26",0.477181376120557
"27",NA
"28",0.933438494369439
"29",0.02510598536053
"30",0.681315715989306
"31",0.605026079769672
"32",0.920483063996937
"33",0.888627175759314
"34",0.743563850883204
"35",0.28570323757875
"36",0.436180018097099
"37",0.921361398125479
"38",0.904150825801721
"39",0.111798690505801
"40",0.534229366912317
"41",0.685394593121812
"42",0.945838447681426
"43",0.974567560571043
"44",0.734640268471779
"45",0.74827453844946
"46",0.399976790009777
"47",0.911365370058821
"48",NA
"49",0.852834177722342
"50",0.782237619761601
"51",NA
"52",0.728479400742131
"53",0.858081779282541
"54",NA
"55",0.243400255450459
"56",0.992870230498677
"57",0.174403453420539
"58",0.720250155148211
"59",0.551937441851072
"60",0.828047172865628
"61",0.253980688688265
"62",0.450363873329498
"63",0.356515789129684
"64",0.921374323774671
"65",0.295126574657093
"66",0.220916317203612
"67",0.654536219822806
"68",0.203125840297204
"69",0.219517236275265
"70",0.0795534884265533
"71",0.159606898808129
"72",0.456864925946443
"73",0.57454616517387
"74",0.968768896303546
"75",0.408341773190069
"76",0.781984825016902
"77",0.761808606310793
"78",0.278793634117793
"79",0.532559313272799
"80",0.846295226998961
"81",0.19570010468002
"82",0.340545888504648
"83",0.382174259133651
"84",0.837138389683993
"85",0.0145206762350861
"86",0.899129355142942
"87",NA
"88",0.147644034595396
"89",0.862240841004056
"90",NA
"91",0.15517812723095
"92",0.973122598069681
"93",0.242887402764144
"94",NA
"95",0.872997888051842
"96",0.97032174859587
"97",0.656555716066429
"98",0.608228159357592
"99",0.441520900413416
"100",0.767371376786159
"101",NA
"102",NA
"103",0.485631387090163
"104",0.929623992345808
"105",0.976131267881164
"106",0.312980814330711
"107",0.0703529661894826
"108",0.43546581213379
"109",0.606824411327043
"110",0.494363184590487
"111",0.971489849419405
"112",0.457797782275708
"113",0.421238648010908
"114",0.619852696398995
