"","x"
"1",0.878501302935868
"2",0.41704569562603
"3",0.397837782939999
"4",0.513541073533388
"5",0.829625286698875
"6",0.301135103340617
"7",NA
"8",0.0117993345166889
"9",0.387288493732146
"10",0.262865880907108
"11",0.87467649962281
"12",0.109782531805547
"13",0.664906357515644
"14",0.504280186421714
"15",0.0638411679157318
"16",0.600606031719937
"17",0.332125790150857
"18",0.723548505413564
"19",0.278283509723794
"20",0.682541546473284
"21",0.969019137339564
"22",NA
"23",0.0559536779449376
"24",0.0751502312290481
"25",0.698422276400933
"26",0.936111789819118
"27",0.0718172088609942
"28",0.440673921124752
"29",0.673466788625739
"30",0.209948715049082
"31",0.697353275020422
"32",0.45274672860701
"33",0.662612716484011
"34",0.445083657660705
"35",0.0607034811522012
"36",0.894811806402954
"37",0.344073740852411
"38",0.22986053123731
"39",0.524785288659659
"40",0.916372219860266
"41",0.040656498353896
"42",0.315022250625849
"43",0.507718546910492
"44",0.145551505049577
"45",0.961516668571219
"46",0.76869914038766
"47",0.474952845850894
"48",0.00281163423126253
"49",0.22136068121968
"50",0.26493226078972
"51",0.713986533924491
"52",0.665891378002726
"53",NA
"54",0.974668166527431
"55",0.388685553859923
"56",0.594418493496512
"57",0.875847014653324
"58",0.634050543246621
"59",0.344967940197317
"60",0.935858879700999
"61",0.867296445882503
"62",NA
"63",0.907639700318106
"64",0.0425513899086566
"65",0.394697005769221
"66",0.179000956881452
"67",0.220280736904204
"68",0.37958832833004
"69",0.916461289610597
"70",0.170107505970216
"71",0.0359321832506204
"72",0.39553815083753
"73",0.112179252877882
"74",0.939109993495676
"75",0.90378874159087
"76",0.192928928328042
"77",0.0335996608321748
"78",0.33654497799205
"79",0.462694033329918
"80",0.0326650429360697
"81",0.832637171019251
"82",0.220546286268428
"83",0.322059073876348
"84",0.963009059790848
"85",0.893244918108412
"86",0.11993578124406
"87",0.0107048520456779
"88",0.875499826414421
"89",0.0737961499107372
"90",0.883960491316407
"91",0.370909661793246
"92",NA
"93",0.239957564823715
"94",0.99259201564391
"95",0.035815758810062
"96",0.487091393782907
"97",0.583064351514572
"98",0.724013833029288
"99",0.00683284489428433
"100",0.885681052309108
"101",0.258491493162832
"102",0.39305073940521
"103",0.0641728138846147
"104",0.98101559598388
"105",0.87745773604513
"106",0.423924329824243
"107",0.607479593513104
"108",0.129959396572417
"109",0.923277642307427
"110",0.325214676493344
