effect,authors,year,experiment,study,article,age,skill,task,trials,days,freqgrps,frgrn,frequency,pub,bandwidth,bprime,faded,yoked,otherrfb,feedback,measure,primary,match,measure-other,irinterval,drinterval,time,n100,n2,mean100,sd100,se100,mean2,sd2,se2,F,t,af,r,q,p,favours,calsd100,calsd2,missing,g_msd,var_g_msd,g_fv,var.g_fv,g_tv,var_g_tv,g_pv,var_g_pv,g_ses,var_g_ses,g_afes,var_g_afes,g_raw,var,g
44,Williams ,1992,1,,,Adult,Novice,Stable-constant,5,1,Yes,2,20,No,No,No,No,No,,Other-qual,VE,No,TRUE,,10,2,ImmRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
46,Williams ,1992,1,,,Adult,Novice,Stable-constant,5,1,Yes,2,20,No,No,No,No,No,,Other-qual,VE,No,TRUE,,10,2,DelayRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
64,Wishart & Lee,1997,1,,,Adult,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,VE,No,FALSE,,30,,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
66,Wishart & Lee,1997,1,,,Adult,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,VE,No,FALSE,,30,,ImmRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
68,Wishart & Lee,1997,1,,,Older,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,VE,No,FALSE,,30,,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
70,Wishart & Lee,1997,1,,,Older,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,VE,No,FALSE,,30,,ImmRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
71,Wishart & Lee,1997,1,,,Older,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,ACE,No,FALSE,,30,,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
72,Wishart & Lee,1997,1,,,Older,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,VE,No,FALSE,,30,,Acquisition,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
73,Wishart & Lee,1997,1,,,Older,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,ACE,No,FALSE,,30,,ImmRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
74,Wishart & Lee,1997,1,,,Older,Novice,Stable-constant,90,1,No,,66,Yes,No,No,Yes,No,,CE,VE,No,FALSE,,30,,ImmRet,12,12,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
